manufacturer,code,name,start_date,end_date,manufacturer_description,tags,synonyms,coe,type,manufacturer_url,image_path,image_url,stock_type
BB,BB-20-M-ElectricCoconut,Electric Coconut,,,"Electric Coconut brings one of the best colors out of the 90’s and puts it straight into your hands. Under natural light conditions Electric Coconut appears as an off white color and when you blast it with a UV light it turns a bright green which is reminiscent of the off yellow-white color that was found frequently in 90’s toys and clothing. Make Electric Coconut a standard in your palette today! When you want the best, where do you reach? To the top shelf! We feel this is our best glass. What more can we say? Top shelf is recommended for the professional artist looking for top quality product.Comparable to other’s odds, middle shelf glass is misshapen or out of round, but the glass is still in near perfect composition and free from large stones or inclusions. We recommend this glass for artists on a budget who still want good quality color but are willing to work with small variances in shape and size.Comparable to other’s seconds, bottom shelf glass includes glass that is still very usable, but may have excess air or small stones in it. We recommend this glass for beginning glass workers to use as practice, or for the production worker looking to drop their costs.Sold by the pound. Go ahead and select your quality level below.","""unknown""",,33,rod,https://store.borobatch.com/products/boro-batch-electric-coconut,,https://cdn.shopify.com/s/files/1/0911/6406/files/ElectricCoconut.png?v=1741872063,
BB,BB-32-T-BlueHoney,Blue Honey,,,"Blue Honey is as rich and deep as Dave's Blues before you heat it up. When you strike it retains its' translucence but gets waves of purples and gains a greenish blue appearance. It's a very workable color but refrain from a heavily reducing environment. Blue Honey is the rarest of all honeys because it comes from the Blue Bumble Bee. The Blue Bumble Bee first came about when a guy named Dave used to play the blues for fields of wild flowers. All of those wild flowers started taking in the blues and created blue pollen which the local bumble bees used to make their hives with. After many seasons of Dave playing the blues for the buzzing and bumbling locals he noticed that these bees had turned blue. They were a more laid back kind of bee. Dave checked out their hive one day after following one of these blue dudes back to their den where he found the Blue Honey. When you want the best, where do you reach? To the top shelf! We feel this is our best glass. What more can we say? Top shelf is recommended for the professional artist looking for top quality product.Comparable to other’s odds, middle shelf glass is misshapen or out of round, but the glass is still in near perfect composition and free from large stones or inclusions. We recommend this glass for artists on a budget who still want good quality color but are willing to work with small variances in shape and size.Comparable to other’s seconds, bottom shelf glass includes glass that is still very usable, but may have excess air or small stones in it. We recommend this glass for beginning glass workers to use as practice, or for the production worker looking to drop their costs.Sold by the pound. Go ahead and select your quality level below.","""blue"", ""orange"", ""yellow""",,33,rod,https://store.borobatch.com/products/boro-batch-blue-honey,,https://cdn.shopify.com/s/files/1/0911/6406/files/Bluehoney.png?v=1741871884,
BB,BB-07-T-Tangelo,Tangelo,,,"Our newest addition from Boro Batch is a color many have been asking for in the boro palette. Tangelo is a wonderful shade of light transparent orange. This color has a slight UV reaction as well. Tangleo works easily, and is very stable. Watch for it's counterpart, Orangangutan, which is a more saturated, semi opaque version. Stay tuned for this and more great colors from our friends at Boro Batch!When you want the best, where do you reach? To the top shelf! We feel this is our best glass. What more can we say? Top shelf is recommended for the professional artist looking for top quality product.Comparable to other’s odds, middle shelf glass is misshapen or out of round, but the glass is still in near perfect composition and free from large stones or inclusions. We recommend this glass for artists on a budget who still want good quality color but are willing to work with small variances in shape and size.Comparable to other’s seconds, bottom shelf glass includes glass that is still very usable, but may have excess air or small stones in it. We recommend this glass for beginning glass workers to use as practice, or for the production worker looking to drop their costs.Sold by the pound. Go ahead and select your quality level below.","""unknown""",,33,rod,https://store.borobatch.com/products/bb-tangelo,,https://cdn.shopify.com/s/files/1/0911/6406/files/Tangelo.png?v=1741872321,
BB,BB-28-T-BlueMoonshine,Blue Moonshine,,,"Blue Moonshine is a super creamy semi-opaque blue. Blue Moonshine's ability to be both a beautiful light blue as well as a darker, purple rich blue makes it a beautifully unique color that should be a standard in all artists palette. Blue Moonshine is very workable color. When you want the best, where do you reach? To the top shelf! We feel this is our best glass. What more can we say? Top shelf is recommended for the professional artist looking for top quality product.Comparable to other’s odds, middle shelf glass is misshapen or out of round, but the glass is still in near perfect composition and free from large stones or inclusions. We recommend this glass for artists on a budget who still want good quality color but are willing to work with small variances in shape and size.Comparable to other’s seconds, bottom shelf glass includes glass that is still very usable, but may have excess air or small stones in it. We recommend this glass for beginning glass workers to use as practice, or for the production worker looking to drop their costs.Sold by the pound. Go ahead and select your quality level below.","""blue""",,33,rod,https://store.borobatch.com/products/boro-batch-blue-moonshine,,https://cdn.shopify.com/s/files/1/0911/6406/files/BlueMoonshine.png?v=1741871982,
BB,BB-38-T-PurpleCream,Purple Cream,,,"Purple Cream is a beautiful CFL reactive color that goes from a lavender purple under CFL lights, to a dark grey blue in sunlight, and a sea foam green under 4000k LED lights. Like our other CFL colors, Purple Cream works well in a neutral flame and is super easy to work. When working with Purple Cream it is recommended to be used in thicker applications to see the best color shifts. When you want the best, where do you reach? To the top shelf! We feel this is our best glass. What more can we say? Top shelf is recommended for the professional artist looking for top quality product.Comparable to other’s odds, middle shelf glass is misshapen or out of round, but the glass is still in near perfect composition and free from large stones or inclusions. We recommend this glass for artists on a budget who still want good quality color but are willing to work with small variances in shape and size.Comparable to other’s seconds, bottom shelf glass includes glass that is still very usable, but may have excess air or small stones in it. We recommend this glass for beginning glass workers to use as practice, or for the production worker looking to drop their costs.Sold by the pound. Go ahead and select your quality level below.","""purple"", ""white"", ""yellow""",,33,rod,https://store.borobatch.com/products/copy-of-boro-batch-pink-tonium,,https://cdn.shopify.com/s/files/1/0911/6406/files/PurpleCream_CFL.png?v=1741871736,
BB,BB-30-T-Crush,Crush,,,"Crush is that tall drink of orangey awesome that you've needed for far too long. We're happy to quench your thirst and get you the reaction you've been wanting. Crush is a CFL reactive yellow-to-orange that is highly workable. Crush shifts best when in a thicker gather. When you want the best, where do you reach? To the top shelf! We feel this is our best glass. What more can we say? Top shelf is recommended for the professional artist looking for top quality product.Comparable to other’s odds, middle shelf glass is misshapen or out of round, but the glass is still in near perfect composition and free from large stones or inclusions. We recommend this glass for artists on a budget who still want good quality color but are willing to work with small variances in shape and size.Comparable to other’s seconds, bottom shelf glass includes glass that is still very usable, but may have excess air or small stones in it. We recommend this glass for beginning glass workers to use as practice, or for the production worker looking to drop their costs.Sold by the pound. Go ahead and select your quality level below.","""unknown""",,33,rod,https://store.borobatch.com/products/copy-of-boro-batch-green-pearl,,https://cdn.shopify.com/s/files/1/0911/6406/files/Crush_CFL.png?v=1741871941,
BB,BB-SamplePack-Full,Sample Pack Full Length,,,"This is a sample pack of the Boro Batch Large Batch line, which includes full length rods of the most popular colors. This sample pack includes 1 rod each of the following:Mead (Striking)Wild Honey (Striking)Dave’s Blues (Transparent Cobalt)Oscar (Transparent Green)Tangelo (Transparent Orange)Watermelon (UV Reactive)Flip Flop (CFL Reactive)Hurricane Strike (Striking)Light Muddy Waters (Light Transparent Brown)Muddy Waters (Transparent Brown)Dark Muddy Waters (Dark Transparent Brown)Space Grass (UV under 365nm light)Lemon Party (Semi Transparent Yellow)Sour Puss (Opaque Yellow)Tangerine Dream (Opaque Yellow Orange)Flip Frog (CFL Reactive)Green Pearl (Opaque Green)Dahlia (Transparent Pink)Blue Moonshine (Semi-Opaque Blue)Crush (CFL Reactive Orange)Purple Drank (CFL Reactive)Blue Honey (Striking Semi Transparent Blue)Divided Sky (Semi Transparent Blue-Purple)Sandstorm (Striking Biege)Dark Cobalt Supreme (Super Saturated Cobalt)Pink Tonium (UV Reactive White)Green Space Dust (Super Saturated Green with Sparkles)Purple Cream (CFL)Pineberry (CFL)Beeswax (Striking Yellow) Sunset (Striking Orange-Red-Purple)Swamp Strike (Striking Green)Cold Water (Transparent Blue)Grape Ape (Transparent Purple)Purple Sunshine (Striking Purple)Brown Honey (Striking Opaque Brown)King Crimson (Striking Red)Limeade (Transparent Neon Green)Pink Lemonade (Semi-Opaque Pink)Light Blue Honey (Transparent, Striking, Light Blue)Space Cadet (Sparkly Semi Opaque Dark Blue) Fume (Striking Transparent Yellow) Chili Pepper (Striking Transparent Red)","""unknown""",,33,rod,https://store.borobatch.com/products/boro-batch-sample-pack-full-length,,https://cdn.shopify.com/s/files/1/0911/6406/products/BB-SamplePackPicture_2022-05-15.jpg?v=1652669945,
BB,BB-SamplePack-Half,Sample Pack Half Length,,,"This is a sample pack of the Boro Batch Large Batch line, which includes half length rods of the most popular colors.The sample pack includes a half rod for each of the following:Mead (Striking)Wild Honey (Striking)Dave’s Blues (Transparent Cobalt)Oscar (Transparent Green)Tangelo (Transparent Orange)Watermelon (UV Reactive)Flip Flop (CFL Reactive)Hurricane Strike (Striking)Light Muddy Waters (Light Transparent Brown)Muddy Waters (Transparent Brown)Dark Muddy Waters (Dark Transparent Brown)Space Grass (UV under 365nm light)Lemon Party (Semi Transparent Yellow)Sour Puss (Opaque Yellow)Tangerine Dream (Opaque Yellow Orange)Flip Frog (CFL Reactive)Green Pearl (Opaque Green)Dahlia (Transparent Pink)Blue Moonshine (Semi-Opaque Blue)Crush (CFL Reactive Orange)Purple Drank (CFL Reactive)Blue Honey (Striking Semi Transparent Blue)Divided Sky (Semi Transparent Blue-Purple)Sandstorm (Striking Biege)Dark Cobalt Supreme (Super Saturated Cobalt)Pink Tonium (UV Reactive White)Green Space Dust (Super Saturated Green with Sparkles)Purple Cream (CFL)Pineberry (CFL)Beeswax (Striking Yellow) Sunset (Striking Orange-Red-Purple)Swamp Strike (Striking Green)Cold Water (Transparent Blue)Grape Ape (Transparent Purple)Purple Sunshine (Striking Purple)Brown Honey (Striking Opaque Brown)King Crimson (Striking Red)Limeade (Transparent Neon Green)Pink Lemonade (Semi-Opaque Pink)Light Blue Honey (Transparent, Striking, Light Blue)Space Cadet (Sparkly Semi Opaque Dark Blue) Fume (Striking Transparent Yellow) Chili Pepper (Striking Transparent Red)","""unknown""",,33,rod,https://store.borobatch.com/products/boro-batch-sample-pack-half-length,,https://cdn.shopify.com/s/files/1/0911/6406/products/BB-SamplePackPicture_2022-05-15_4f411ff6-64fa-4521-a410-72d44bc4a040.jpg?v=1652670018,
BB,BB-22-T-TangerineDream,Tangerine Dream,,,"Tangerine Dream is a cadmium based opaque orange that can thank its bright appearance to the richness of the yellow present. Tangerine Dream does not like reducing atmospheres. RO Jones says, ""This color is pure what you see is what you get. If you work it in a reducing flame its orange and creamy, if you work it in an oxidizing flame its orange and creamy. It comes back a bright citrus orange every time. Coiled up its near seamless, looks great in tube pulls, line work is a breeze."" When you want the best, where do you reach? To the top shelf! We feel this is our best glass. What more can we say? Top shelf is recommended for the professional artist looking for top quality product.Comparable to other’s odds, middle shelf glass is misshapen or out of round, but the glass is still in near perfect composition and free from large stones or inclusions. We recommend this glass for artists on a budget who still want good quality color but are willing to work with small variances in shape and size.Comparable to other’s seconds, bottom shelf glass includes glass that is still very usable, but may have excess air or small stones in it. We recommend this glass for beginning glass workers to use as practice, or for the production worker looking to drop their costs.Sold by the pound. Go ahead and select your quality level below.","""unknown""",,33,rod,https://store.borobatch.com/products/boro-batch-tangerine-dream,,https://cdn.shopify.com/s/files/1/0911/6406/files/tangerinedream.png?v=1741872005,
BB,BB-16-T-SPACEGRASS,Space Grass (365nm UV Reactive),,,"We reached into the universe and pulled Space Grass into our existence. Under standard lighting Space Grass is clear but under a 365 nm UV light a bright green glow emanates from the glass. RO Jones says, ""Bright, vivid, and stable ultraviolet reactive green. It definitely adds some space age richness to the Boro Batch palette. It layers really well over clear, implodes evenly, and gathers really easily so it’s a great go to staple for your UV arsenal. It’s a great way to add some hidden depth to your pieces and a great color to add to your regular working line. It also lenses well under clear."" Each customer will receive a free 365nm UV light with their first purchase of a pound of this product and this offer is limited to one flash light per account with ABR Imagery. When you want the best, where do you reach? To the top shelf! We feel this is our best glass. What more can we say? Top shelf is recommended for the professional artist looking for top quality product. Comparable to other’s odds, middle shelf glass is misshapen or out of round, but the glass is still in near perfect composition and free from large stones or inclusions. We recommend this glass for artists on a budget who still want good quality color but are willing to work with small variances in shape and size. Comparable to other’s seconds, bottom shelf glass includes glass that is still very usable, but may have excess air or small stones in it. We recommend this glass for beginning glass workers to use as practice, or for the production worker looking to drop their costs. Sold by the pound. Go ahead and select your quality level below.","""green""",,33,rod,https://store.borobatch.com/products/boro-batch-space-grass-uv-reactive,,https://cdn.shopify.com/s/files/1/0911/6406/files/spacegrass.png?v=1741872156,
